step,time_days,seg,Ncell,D_um,Q_uLday,tau_Pa
0,0.0,0,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,1,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,2,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,3,8.0,12.732395447351628,9.553825971526047,1.9098593171027394
0,0.0,4,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,5,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,6,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,7,8.0,12.732395447351628,6.369217314350702,1.2732395447351605
0,0.0,8,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,9,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,10,8.0,12.732395447351628,6.369217314350723,1.2732395447351648
0,0.0,11,8.0,12.732395447351628,6.369217314350723,1.2732395447351648
0,0.0,12,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,13,8.0,12.732395447351628,6.369217314350723,1.2732395447351648
0,0.0,14,8.0,12.732395447351628,6.369217314350723,1.2732395447351648
0,0.0,15,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,16,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,17,8.0,12.732395447351628,9.553825971526063,1.909859317102743
0,0.0,18,8.0,12.732395447351628,9.553825971526063,1.909859317102743
0,0.0,19,8.0,12.732395447351628,9.55382597152607,1.909859317102744
0,0.0,20,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,21,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,22,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,23,8.0,12.732395447351628,3.184608657175334,0.6366197723675768
0,0.0,24,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,25,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,26,8.0,12.732395447351628,3.184608657175345,0.636619772367579
0,0.0,27,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,28,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,29,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,30,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,31,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,32,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,33,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,34,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,35,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,36,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,37,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,38,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,39,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
36,5.0,0,13.0,20.6901426019464,68.39416803883428,3.18627331761794
36,5.0,1,13.0,20.6901426019464,68.39416803883428,3.18627331761794
36,5.0,2,13.0,20.6901426019464,68.39416803883412,3.1862733176179323
36,5.0,3,24.0,38.197186342054884,68.39416803883321,0.5063832811636652
36,5.0,4,22.0,35.01408748021698,68.3941680388348,0.6574232230284249
36,5.0,5,22.0,35.01408748021698,68.39416803880762,0.6574232230281637
36,5.0,6,21.0,33.42253804929802,68.39416803880826,0.7558840815035047
36,5.0,7,13.0,20.6901426019464,68.39416803880887,3.1862733176167564
36,5.0,8,10.0,15.915494309189533,68.39416803880876,7.000242478804006
36,5.0,9,10.0,15.915494309189533,68.39416803880881,7.0002424788040125
36,5.0,10,15.0,23.873241463784304,68.39416803880881,2.074145919645633
36,5.0,11,15.0,23.873241463784304,68.39416803880876,2.074145919645631
36,5.0,12,15.0,23.873241463784304,68.39416803880881,2.074145919645633
36,5.0,13,15.0,23.873241463784304,68.39416803880876,2.074145919645631
36,5.0,14,23.0,36.60563691113593,68.39416803880859,0.5753466325966947
36,5.0,15,22.0,35.01408748021698,68.39416803883286,0.6574232230284063
36,5.0,16,15.0,23.873241463784304,68.39416803883272,2.074145919646358
36,5.0,17,13.0,20.6901426019464,68.39416803883272,3.1862733176178675
36,5.0,18,13.0,20.6901426019464,68.39416803883269,3.186273317617866
36,5.0,19,13.0,20.6901426019464,68.39416803883272,3.1862733176178675
36,5.0,20,0.0,0.0,2.485402920575227e-11,0.0
36,5.0,21,0.0,0.0,2.485402920575264e-11,0.0
36,5.0,22,0.0,0.0,2.4854029205752517e-11,0.0
36,5.0,23,0.0,0.0,2.485402920575239e-11,0.0
36,5.0,24,0.0,0.0,2.485402920575239e-11,0.0
36,5.0,25,0.0,0.0,2.4854029205752204e-11,0.0
36,5.0,26,0.0,0.0,2.485402920575233e-11,0.0
