alpha,day,day_label,n_total,n_loss_in_day,loss_pct
0.29,1,Day 1,50,0,0.0
0.29,2,Day 2,50,1,2.0
0.29,3,Day 3,50,1,2.0
0.29,4,Day 4,50,5,10.0
0.29,5,Day 5,50,2,4.0
0.3,1,Day 1,50,0,0.0
0.3,2,Day 2,50,1,2.0
0.3,3,Day 3,50,1,2.0
0.3,4,Day 4,50,5,10.0
0.3,5,Day 5,50,3,6.0
0.31,1,Day 1,50,0,0.0
0.31,2,Day 2,50,1,2.0
0.31,3,Day 3,50,1,2.0
0.31,4,Day 4,50,5,10.0
0.31,5,Day 5,50,3,6.0
0.32,1,Day 1,50,0,0.0
0.32,2,Day 2,50,0,0.0
0.32,3,Day 3,50,1,2.0
0.32,4,Day 4,50,5,10.0
0.32,5,Day 5,50,3,6.0
0.33,1,Day 1,50,0,0.0
0.33,2,Day 2,50,0,0.0
0.33,3,Day 3,50,2,4.0
0.33,4,Day 4,50,4,8.0
0.33,5,Day 5,50,2,4.0
0.34,1,Day 1,50,0,0.0
0.34,2,Day 2,50,0,0.0
0.34,3,Day 3,50,2,4.0
0.34,4,Day 4,50,5,10.0
0.34,5,Day 5,50,2,4.0
0.35,1,Day 1,50,0,0.0
0.35,2,Day 2,50,0,0.0
0.35,3,Day 3,50,3,6.0
0.35,4,Day 4,50,5,10.0
0.35,5,Day 5,50,3,6.0
0.36,1,Day 1,50,0,0.0
0.36,2,Day 2,50,0,0.0
0.36,3,Day 3,50,3,6.0
0.36,4,Day 4,50,5,10.0
0.36,5,Day 5,50,3,6.0
0.37,1,Day 1,50,0,0.0
0.37,2,Day 2,50,0,0.0
0.37,3,Day 3,50,3,6.0
0.37,4,Day 4,50,5,10.0
0.37,5,Day 5,50,3,6.0
0.38,1,Day 1,50,0,0.0
0.38,2,Day 2,50,0,0.0
0.38,3,Day 3,50,3,6.0
0.38,4,Day 4,50,5,10.0
0.38,5,Day 5,50,3,6.0
0.39,1,Day 1,50,0,0.0
0.39,2,Day 2,50,0,0.0
0.39,3,Day 3,50,3,6.0
