rule,alpha,seed_idx,stable,hierarchy_success,joint_success,loss_time,final_prox_diam,final_dist_diam,final_delta
BR3,,0,1,1,1,0,10.3450713009732,8.116902097686665,2.2281692032865337
BR3,,1,0,1,0,14,11.30000095952457,10.663381187156988,0.6366197723675828
BR3,,2,1,0,0,0,7.639437268410975,9.549296585513721,-1.9098593171027458
BR3,,3,1,0,0,0,10.026761414789409,10.50422624406509,-0.47746482927568223
BR3,,4,1,1,1,0,10.185916357881302,8.116902097686664,2.0690142601946384
BR3,,5,1,1,1,0,11.140846016432674,9.867606471697512,1.273239544735162
BR3,,6,1,0,0,0,9.230986699329929,10.504226244065093,-1.2732395447351639
BR3,,7,1,0,0,0,8.912676813146138,10.822536130248881,-1.9098593171027431
BR3,,8,1,1,1,0,10.3450713009732,10.185916357881304,0.15915494309189526
BR3,,9,1,0,0,0,7.639437268410978,8.912676813146138,-1.2732395447351603
BR3,,10,1,1,1,0,12.254930618075942,11.618310845708361,0.636619772367581
BR3,,11,1,0,0,0,10.345071300973197,10.3450713009732,-1.7763568394002505e-15
BR3,,12,1,0,0,0,9.390141642421828,10.026761414789409,-0.636619772367581
BR3,,13,1,1,1,0,9.071831756238035,8.594366926962348,0.47746482927568756
BR3,,14,1,0,0,0,8.912676813146138,10.026761414789407,-1.1140846016432686
BR3,,15,1,0,0,0,8.276057040778559,8.912676813146138,-0.6366197723675793
BR3,,16,1,1,1,0,10.504226244065093,8.594366926962348,1.909859317102745
BR3,,17,1,0,0,0,7.798592211502873,9.54929658551372,-1.750704374010846
BR3,,18,1,1,1,0,10.3450713009732,9.708451528605616,0.6366197723675828
BR3,,19,1,0,0,0,8.91267681314614,9.867606471697512,-0.9549296585513716
BR3,,20,1,1,1,0,10.822536130248883,9.23098669932993,1.5915494309189526
BR3,,21,1,0,0,0,8.276057040778559,8.435211983870454,-0.15915494309189526
BR3,,22,1,0,0,0,10.3450713009732,12.095775674984045,-1.750704374010846
BR3,,23,1,1,1,0,9.867606471697513,9.54929658551372,0.3183098861837941
BR3,,24,1,1,1,0,13.528170162811104,8.753521870054245,4.77464829275686
BR3,,25,1,0,0,0,7.957747154594768,9.867606471697512,-1.909859317102744
BR3,,26,1,1,1,0,9.86760647169751,9.708451528605616,0.15915494309189349
BR3,,27,1,1,1,0,10.504226244065093,10.50422624406509,1.7763568394002505e-15
BR3,,28,1,1,1,0,10.98169107334078,9.867606471697512,1.1140846016432686
BR3,,29,1,0,0,0,8.435211983870454,8.59436692696235,-0.15915494309189526
BR3,,30,1,0,0,0,8.91267681314614,11.140846016432675,-2.2281692032865354
BR3,,31,1,1,1,0,12.573240504259733,9.867606471697512,2.7056340325622212
BR3,,32,1,0,0,0,8.594366926962348,10.822536130248883,-2.2281692032865354
BR3,,33,1,1,1,0,10.185916357881302,10.026761414789409,0.15915494309189349
BR3,,34,1,0,0,0,8.753521870054247,11.30000095952457,-2.546479089470324
BR3,,35,1,1,1,0,13.369015219719211,9.390141642421826,3.978873577297385
BR3,,36,1,0,0,0,9.071831756238037,10.822536130248885,-1.7507043740108479
BR3,,37,1,1,1,0,9.230986699329929,8.753521870054247,0.47746482927568223
BR3,,38,0,0,0,11,11.777465788800257,12.095775674984045,-0.31830988618378875
BR3,,39,0,0,0,35,8.753521870054245,11.140846016432674,-2.387324146378429
