step,time_days,mean_diam_prox,mean_diam_dist,bifurcation_lost,branch_collapse
0,0.0,12.732395447351626,12.732395447351626,0,0
1,0.1388888888888889,12.25493061807594,12.095775674984047,0,0
2,0.2777777777777778,11.459155902616464,11.300000959524569,0,0
3,0.4166666666666667,10.50422624406509,10.822536130248883,0,0
4,0.5555555555555556,10.185916357881302,9.708451528605616,0,0
5,0.6944444444444445,9.708451528605615,8.91267681314614,0,0
6,0.8333333333333334,9.390141642421826,8.435211983870454,0,0
7,0.9722222222222223,8.912676813146138,8.116902097686664,0,0
8,1.1111111111111112,7.639437268410977,8.116902097686664,0,0
9,1.25,6.525352666767709,7.798592211502873,0,0
10,1.388888888888889,6.207042780583919,7.002817496043396,0,0
11,1.527777777777778,5.729577951308232,7.161972439135292,0,0
12,1.6666666666666667,5.729577951308232,8.59436692696235,0,0
13,1.8055555555555556,5.411268065124442,10.98169107334078,0,0
14,1.9444444444444446,6.684507609859604,11.936620731892152,0,0
15,2.0833333333333335,8.435211983870454,11.777465788800257,0,0
16,2.2222222222222223,8.435211983870454,12.891550390443522,0,0
17,2.361111111111111,7.3211273822271865,14.642254764454373,0,1
18,2.5,6.6845076098596055,16.392959138465223,0,1
19,2.638888888888889,6.525352666767709,17.666198683200385,0,1
20,2.777777777777778,6.366197723675814,18.939438227935547,0,1
21,2.9166666666666665,6.207042780583919,20.690142601946395,0,1
22,3.055555555555556,5.4112680651244425,21.48591731740587,0,1
23,3.1944444444444446,4.456338406573069,20.21267777267071,0,1
24,3.3333333333333335,3.501408748021697,18.939438227935547,0,1
25,3.4722222222222228,2.0690142601946397,20.053522829578817,0,1
26,3.611111111111111,0.3183098861837907,21.326762374313976,0,1
27,3.75,0.0,22.122537089773452,1,1
28,3.8888888888888893,0.0,22.60000191904914,1,1
29,4.027777777777778,0.0,21.48591731740587,1,1
30,4.166666666666667,0.0,20.053522829578814,1,1
31,4.305555555555556,0.0,18.14366351247607,1,1
32,4.444444444444445,0.0,16.552114081557118,1,1
33,4.583333333333333,0.0,15.915494309189537,1,1
34,4.722222222222222,0.0,15.278874536821954,1,1
35,4.861111111111112,0.0,15.438029479913848,1,1
36,5.0,0.0,16.074649252281432,1,1
