rule,alpha,seed,loss_time,loss_branch,branch_collapse_time,branch_collapse_branch,final_prox_diam,final_dist_diam,hierarchy_success,joint_success,stable
BR5,0.01,434285668,0,0,0,0,11.61831084570836,8.594366926962348,1,1,1
BR5,0.01,613608296,0,0,29,1,3.501408748021698,16.392959138465223,0,0,1
BR5,0.01,893664920,0,0,0,0,6.525352666767709,8.753521870054245,0,0,1
BR5,0.01,648061059,35,0,26,1,1.432394487827058,18.780283284843655,0,0,0
BR5,0.01,88409750,0,0,0,0,15.915494309189537,5.252113122032546,1,1,1
BR5,0.01,242285877,0,0,6,0,9.708451528605616,5.888732894400128,1,1,1
BR5,0.01,944505602,19,1,9,1,0.0,11.777465788800257,0,0,0
BR5,0.01,953477464,32,1,23,1,0.0,14.642254764454373,0,0,0
BR5,0.01,354088428,21,1,12,1,0.0,12.095775674984049,0,0,0
BR5,0.01,809827742,0,0,0,0,8.753521870054243,6.047887837492023,1,1,1
BR5,0.01,911989542,0,0,25,2,24.98732606542757,0.3183098861837907,1,1,1
BR5,0.01,3344770,0,0,0,0,8.435211983870454,7.16197243913529,1,1,1
BR5,0.01,780932288,11,1,2,1,0.0,13.687325105903,0,0,0
BR5,0.01,787716373,27,0,8,0,19.098593171027442,8.116902097686664,1,0,0
BR5,0.01,504579233,0,0,0,0,15.278874536821954,10.026761414789409,1,1,1
BR5,0.01,232968652,29,2,10,2,22.440846975957243,0.0,1,0,0
BR5,0.01,479546682,0,0,10,0,13.528170162811103,9.390141642421828,1,1,1
BR5,0.01,106328086,23,0,4,2,16.552114081557114,3.183098861837907,1,0,0
BR5,0.01,30349565,0,0,36,1,3.978873577297384,9.390141642421826,0,0,1
BR5,0.01,781447916,0,0,0,0,7.639437268410978,9.86760647169751,0,0,1
BR5,0.01,99052377,0,0,10,0,5.411268065124442,8.753521870054245,0,0,1
BR5,0.01,177077809,0,0,0,0,10.50422624406509,10.504226244065093,0,0,1
BR5,0.01,106406363,0,0,0,0,15.75633936609764,7.3211273822271865,1,1,1
BR5,0.01,480404539,0,0,9,1,2.546479089470325,10.185916357881302,0,0,1
BR5,0.01,643647999,28,0,8,0,20.212677772670713,3.501408748021697,1,0,0
BR5,0.01,599121578,33,0,1,0,5.570423008216337,17.82535362629228,0,0,0
BR5,0.01,200427520,0,0,31,2,21.326762374313976,0.6366197723675814,1,1,1
BR5,0.01,181009884,0,0,0,0,13.209860276627314,7.957747154594768,1,1,1
BR5,0.01,961022652,0,0,0,0,7.161972439135292,8.116902097686662,0,0,1
BR5,0.01,499770320,20,1,8,1,0.0,9.230986699329929,0,0,0
BR5,0.01,999745295,0,0,0,0,8.435211983870454,14.323944878270584,0,0,1
BR5,0.01,885063870,0,0,29,2,17.029578910832804,2.8647889756541165,1,1,1
BR5,0.01,389151678,0,0,0,0,9.390141642421828,9.390141642421826,1,1,1
BR5,0.01,151079599,0,0,0,0,10.185916357881302,14.642254764454373,0,0,1
BR5,0.02,534895719,27,0,8,0,20.212677772670713,5.729577951308231,1,0,0
BR5,0.02,199900596,0,0,0,0,5.411268065124442,10.66338118715699,0,0,1
BR5,0.02,862061405,0,0,0,0,8.435211983870454,11.618310845708361,0,0,1
BR5,0.02,787846415,0,0,0,0,14.005634992086788,5.252113122032545,1,1,1
BR5,0.02,996406379,0,0,34,0,4.615493349664964,14.960564650638162,0,0,1
BR5,0.02,127521864,0,0,6,0,4.615493349664964,15.438029479913851,0,0,1
BR5,0.02,423734973,27,0,8,2,25.62394583779515,0.0,1,0,0
BR5,0.02,415968277,0,0,0,0,12.73239544735163,13.687325105903,0,0,1
BR5,0.02,670094951,0,0,0,0,14.005634992086792,8.116902097686664,1,1,1
BR5,0.02,841095290,16,1,7,1,0.0,11.459155902616464,0,0,0
BR5,0.02,669991379,13,0,4,1,0.6366197723675814,12.891550390443523,0,0,0
BR5,0.02,429389015,0,0,2,0,5.570423008216338,13.050705333535419,0,0,1
BR5,0.02,249467211,27,2,8,2,26.897185382530317,0.0,1,0,0
BR5,0.02,898717131,29,2,7,2,27.2154952687141,0.0,1,0,0
BR5,0.02,498972760,0,0,0,0,16.07464925228143,8.912676813146138,1,1,1
BR5,0.02,359525749,0,0,0,0,5.570423008216336,10.822536130248883,0,0,1
BR5,0.02,434285668,0,0,0,0,11.61831084570836,8.594366926962348,1,1,1
BR5,0.02,613608296,0,0,35,0,3.0239439187460113,16.71126902464901,0,0,1
BR5,0.02,893664920,0,0,0,0,4.45633840657307,10.822536130248883,0,0,1
BR5,0.02,648061059,0,0,33,2,16.233804195373327,4.297183463481174,1,1,1
BR5,0.02,88409750,0,0,0,0,15.915494309189537,5.252113122032546,1,1,1
BR5,0.02,242285877,0,0,6,0,10.66338118715699,4.456338406573069,1,1,1
BR5,0.02,944505602,19,1,9,1,0.0,11.777465788800257,0,0,0
BR5,0.02,953477464,0,0,23,0,4.297183463481174,11.140846016432674,0,0,1
BR5,0.02,354088428,21,1,12,1,0.0,12.095775674984049,0,0,0
BR5,0.02,809827742,0,0,0,0,6.6845076098596055,8.435211983870454,0,0,1
BR5,0.02,911989542,0,0,25,2,24.98732606542757,0.3183098861837907,1,1,1
BR5,0.02,3344770,0,0,0,0,11.30000095952457,4.933803235848755,1,1,1
BR5,0.02,780932288,11,1,2,1,0.0,13.687325105903,0,0,0
BR5,0.02,787716373,27,0,8,0,19.098593171027442,8.116902097686664,1,0,0
BR5,0.02,504579233,0,0,0,0,15.278874536821954,10.026761414789409,1,1,1
BR5,0.02,232968652,29,2,10,2,22.440846975957243,0.0,1,0,0
BR5,0.02,479546682,0,0,10,0,13.528170162811103,9.390141642421828,1,1,1
BR5,0.02,106328086,0,0,32,0,16.87042396774091,3.501408748021698,1,1,1
BR5,0.02,30349565,0,0,35,1,2.7056340325622212,11.30000095952457,0,0,1
BR5,0.02,781447916,0,0,0,0,7.002817496043396,10.026761414789409,0,0,1
BR5,0.02,99052377,0,0,10,0,5.411268065124442,8.753521870054245,0,0,1
BR5,0.02,177077809,0,0,0,0,9.071831756238034,11.93662073189215,0,0,1
BR5,0.02,106406363,0,0,0,0,11.140846016432675,11.459155902616464,0,0,1
BR5,0.02,480404539,0,0,9,1,2.546479089470325,10.185916357881302,0,0,1
BR5,0.02,643647999,28,0,8,0,16.552114081557118,7.002817496043396,1,0,0
BR5,0.02,599121578,0,0,1,0,4.615493349664964,19.894367886486922,0,0,1
BR5,0.02,200427520,0,0,31,2,21.326762374313976,0.6366197723675814,1,1,1
BR5,0.02,181009884,0,0,0,0,12.095775674984045,9.230986699329932,1,1,1
BR5,0.02,961022652,0,0,34,2,11.618310845708361,3.3422538049298027,1,1,1
BR5,0.02,499770320,20,1,8,1,0.0,9.230986699329929,0,0,0
BR5,0.02,999745295,0,0,0,0,11.30000095952457,10.822536130248883,1,1,1
BR5,0.02,885063870,0,0,29,2,17.029578910832804,2.8647889756541165,1,1,1
BR5,0.02,389151678,0,0,0,0,9.390141642421828,9.390141642421826,1,1,1
BR5,0.02,151079599,0,0,0,0,5.411268065124442,18.621128341751756,0,0,1
BR5,0.03,534895719,27,0,8,0,20.212677772670713,5.729577951308231,1,0,0
BR5,0.03,199900596,0,0,0,0,5.411268065124442,10.66338118715699,0,0,1
BR5,0.03,862061405,0,0,0,0,7.16197243913529,13.687325105903,0,0,1
BR5,0.03,787846415,0,0,0,0,7.3211273822271865,11.459155902616464,0,0,1
BR5,0.03,996406379,0,0,34,0,4.615493349664964,14.960564650638162,0,0,1
BR5,0.03,127521864,0,0,6,0,7.639437268410977,12.414085561167838,0,0,1
BR5,0.03,423734973,27,0,8,2,25.62394583779515,0.0,1,0,0
BR5,0.03,415968277,0,0,0,0,12.254930618075942,14.164789935178685,0,0,1
BR5,0.03,670094951,0,0,0,0,14.164789935178685,7.9577471545947684,1,1,1
BR5,0.03,841095290,16,1,7,1,0.0,11.459155902616464,0,0,0
BR5,0.03,669991379,13,0,4,1,0.6366197723675814,12.891550390443523,0,0,0
BR5,0.03,429389015,20,1,2,1,0.0,12.573240504259733,0,0,0
BR5,0.03,249467211,27,2,8,2,26.897185382530317,0.0,1,0,0
BR5,0.03,898717131,29,2,7,2,27.2154952687141,0.0,1,0,0
BR5,0.03,498972760,0,0,25,0,20.6901426019464,3.978873577297384,1,1,1
