step,seg,Ncell,G,D_um
12,28,2.0,7.199003221696317e-17,3.183098861837907
12,29,2.0,7.199003221696317e-17,3.183098861837907
12,30,2.0,7.199003221696317e-17,3.183098861837907
12,31,7.0,1.080300420955804e-14,11.140846016432675
12,32,7.0,1.080300420955804e-14,11.140846016432675
12,33,11.0,6.587537885553488e-14,17.50704374010849
12,34,10.0,4.499377013560196e-14,15.915494309189533
12,35,6.0,5.831192609574017e-15,9.549296585513721
12,36,6.0,5.831192609574017e-15,9.549296585513721
12,37,6.0,5.831192609574017e-15,9.549296585513721
12,38,8.0,1.8429448247542572e-14,12.732395447351628
12,39,9.0,2.9520412585968454e-14,14.32394487827058
24,0,14.0,1.7284806735292864e-13,22.28169203286535
24,1,10.0,4.499377013560196e-14,15.915494309189533
24,2,10.0,4.499377013560196e-14,15.915494309189533
24,3,10.0,4.499377013560196e-14,15.915494309189533
24,4,11.0,6.587537885553488e-14,17.50704374010849
24,5,13.0,1.2850670688429288e-13,20.6901426019464
24,6,15.0,2.2778096131148506e-13,23.873241463784304
24,7,13.0,1.2850670688429288e-13,20.6901426019464
24,8,11.0,6.587537885553488e-14,17.50704374010849
24,9,11.0,6.587537885553488e-14,17.50704374010849
24,10,10.0,4.499377013560196e-14,15.915494309189533
24,11,10.0,4.499377013560196e-14,15.915494309189533
24,12,10.0,4.499377013560196e-14,15.915494309189533
24,13,14.0,1.7284806735292864e-13,22.28169203286535
24,14,15.0,2.2778096131148506e-13,23.873241463784304
24,15,16.0,2.9487117196068115e-13,25.464790894703256
24,16,12.0,9.329908175318427e-14,19.098593171027442
24,17,8.0,1.8429448247542572e-14,12.732395447351628
24,18,16.0,2.9487117196068115e-13,25.464790894703256
24,19,17.0,3.7579246754956127e-13,27.05634032562221
24,20,2.0,7.199003221696317e-17,3.183098861837907
24,21,4.0,1.1518405154714108e-15,6.366197723675814
24,22,3.0,3.6444953809837606e-16,4.7746482927568605
24,23,6.0,5.831192609574017e-15,9.549296585513721
24,24,4.0,1.1518405154714108e-15,6.366197723675814
24,25,1.0,4.499377013560198e-18,1.5915494309189535
24,26,1.0,4.499377013560198e-18,1.5915494309189535
24,27,5.0,2.8121106334751225e-15,7.957747154594767
24,28,5.0,2.8121106334751225e-15,7.957747154594767
24,29,7.0,1.080300420955804e-14,11.140846016432675
24,30,10.0,4.499377013560196e-14,15.915494309189533
24,31,8.0,1.8429448247542572e-14,12.732395447351628
24,32,4.0,1.1518405154714108e-15,6.366197723675814
24,33,2.0,7.199003221696317e-17,3.183098861837907
24,34,2.0,7.199003221696317e-17,3.183098861837907
24,35,2.0,7.199003221696317e-17,3.183098861837907
24,36,2.0,7.199003221696317e-17,3.183098861837907
24,37,2.0,7.199003221696317e-17,3.183098861837907
24,38,2.0,7.199003221696317e-17,3.183098861837907
24,39,2.0,7.199003221696317e-17,3.183098861837907
36,0,12.0,9.329908175318427e-14,19.098593171027442
36,1,12.0,9.329908175318427e-14,19.098593171027442
36,2,12.0,9.329908175318427e-14,19.098593171027442
36,3,12.0,9.329908175318427e-14,19.098593171027442
36,4,20.0,7.199003221696314e-13,31.830988618379067
36,5,19.0,5.863633117841787e-13,30.239439187460118
36,6,17.0,3.7579246754956127e-13,27.05634032562221
36,7,7.0,1.080300420955804e-14,11.140846016432675
36,8,7.0,1.080300420955804e-14,11.140846016432675
36,9,16.0,2.9487117196068115e-13,25.464790894703256
36,10,15.0,2.2778096131148506e-13,23.873241463784304
36,11,12.0,9.329908175318427e-14,19.098593171027442
36,12,7.0,1.080300420955804e-14,11.140846016432675
36,13,7.0,1.080300420955804e-14,11.140846016432675
36,14,7.0,1.080300420955804e-14,11.140846016432675
36,15,18.0,4.723266013754953e-13,28.64788975654116
36,16,26.0,2.056107310148686e-12,41.3802852038928
36,17,23.0,1.2591101628516996e-12,36.60563691113593
36,18,12.0,9.329908175318427e-14,19.098593171027442
36,19,12.0,9.329908175318427e-14,19.098593171027442
36,21,2.0,7.199003221696317e-17,3.183098861837907
36,22,1.0,4.499377013560198e-18,1.5915494309189535
36,23,1.0,4.499377013560198e-18,1.5915494309189535
36,24,4.0,1.1518405154714108e-15,6.366197723675814
36,25,5.0,2.8121106334751225e-15,7.957747154594767
36,26,1.0,4.499377013560198e-18,1.5915494309189535
36,27,1.0,4.499377013560198e-18,1.5915494309189535
36,28,1.0,4.499377013560198e-18,1.5915494309189535
36,29,1.0,4.499377013560198e-18,1.5915494309189535
36,30,1.0,4.499377013560198e-18,1.5915494309189535
36,31,1.0,4.499377013560198e-18,1.5915494309189535
36,32,6.0,5.831192609574017e-15,9.549296585513721
36,33,8.0,1.8429448247542572e-14,12.732395447351628
36,34,3.0,3.6444953809837606e-16,4.7746482927568605
36,35,1.0,4.499377013560198e-18,1.5915494309189535
36,36,1.0,4.499377013560198e-18,1.5915494309189535
36,37,1.0,4.499377013560198e-18,1.5915494309189535
36,38,1.0,4.499377013560198e-18,1.5915494309189535
36,39,7.0,1.080300420955804e-14,11.140846016432675
