step,time_days,seg,Ncell,D_um,Q_uLday,tau_Pa
0,0.0,0,8.0,12.732395447351628,9.553825971526003,1.9098593171027305
0,0.0,1,8.0,12.732395447351628,9.553825971526003,1.9098593171027305
0,0.0,2,8.0,12.732395447351628,9.553825971525978,1.9098593171027258
0,0.0,3,8.0,12.732395447351628,9.553825971526003,1.9098593171027305
0,0.0,4,8.0,12.732395447351628,9.553825971526003,1.9098593171027305
0,0.0,5,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,6,8.0,12.732395447351628,6.3692173143507125,1.2732395447351628
0,0.0,7,8.0,12.732395447351628,6.369217314350723,1.2732395447351648
0,0.0,8,8.0,12.732395447351628,6.3692173143507365,1.2732395447351672
0,0.0,9,8.0,12.732395447351628,6.3692173143507365,1.2732395447351672
0,0.0,10,8.0,12.732395447351628,6.369217314350723,1.2732395447351648
0,0.0,11,8.0,12.732395447351628,6.3692173143507365,1.2732395447351672
0,0.0,12,8.0,12.732395447351628,6.3692173143507365,1.2732395447351672
0,0.0,13,8.0,12.732395447351628,6.369217314350746,1.2732395447351694
0,0.0,14,8.0,12.732395447351628,6.369217314350746,1.2732395447351694
0,0.0,15,8.0,12.732395447351628,9.553825971526122,1.9098593171027543
0,0.0,16,8.0,12.732395447351628,9.553825971526104,1.9098593171027507
0,0.0,17,8.0,12.732395447351628,9.553825971526102,1.9098593171027503
0,0.0,18,8.0,12.732395447351628,9.553825971526102,1.9098593171027503
0,0.0,19,8.0,12.732395447351628,9.553825971526104,1.9098593171027507
0,0.0,20,8.0,12.732395447351628,3.184608657175334,0.6366197723675768
0,0.0,21,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,22,8.0,12.732395447351628,3.1846086571753784,0.6366197723675858
0,0.0,23,8.0,12.732395447351628,3.1846086571753904,0.636619772367588
0,0.0,24,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,25,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,26,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,27,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,28,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,29,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,30,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,31,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
