alpha,n_total,n_stable,loss_pct,loss_ci_lo,loss_ci_hi,branch_collapse_pct,branch_collapse_ci_lo,branch_collapse_ci_hi,hierarchy_pct,hierarchy_ci_lo,hierarchy_ci_hi,joint_success_pct,joint_success_ci_lo,joint_success_ci_hi,stable_hierarchy_pct,mean_final_prox_diam,mean_final_dist_diam,mean_final_delta
0.41,50,39,22.0,12.75,35.24,68.0,54.19,79.24,84.0,71.49,91.66,68.0,54.19,79.24,87.18,16.438,3.922,12.516
0.42,50,38,24.0,14.3,37.41,70.0,56.25,80.9,84.0,71.49,91.66,68.0,54.19,79.24,89.47,16.38,3.852,12.529
0.43,50,39,22.0,12.75,35.24,70.0,56.25,80.9,84.0,71.49,91.66,68.0,54.19,79.24,87.18,16.737,3.715,13.022
0.44,50,40,20.0,11.24,33.04,68.0,54.19,79.24,84.0,71.49,91.66,68.0,54.19,79.24,85.0,16.453,3.944,12.51
0.45,50,41,18.0,9.77,30.8,64.0,50.14,75.86,86.0,73.81,93.05,72.0,58.33,82.53,87.8,16.651,3.68,12.971
0.46,50,41,18.0,9.77,30.8,62.0,48.15,74.14,88.0,76.19,94.38,74.0,60.45,84.13,90.24,16.912,3.616,13.296
0.47,50,42,16.0,8.34,28.51,58.0,44.23,70.63,88.0,76.19,94.38,76.0,62.59,85.7,90.48,16.53,3.836,12.694
0.48,50,41,18.0,9.77,30.8,60.0,46.18,72.39,86.0,73.81,93.05,74.0,60.45,84.13,90.24,16.326,3.918,12.408
0.49,50,40,20.0,11.24,33.04,72.0,58.33,82.53,88.0,76.19,94.38,74.0,60.45,84.13,92.5,16.861,3.489,13.372
0.5,50,39,22.0,12.75,35.24,72.0,58.33,82.53,86.0,73.81,93.05,72.0,58.33,82.53,92.31,16.759,3.626,13.133
0.51,50,38,24.0,14.3,37.41,72.0,58.33,82.53,82.0,69.2,90.23,68.0,54.19,79.24,89.47,16.371,4.011,12.36
0.52,50,37,26.0,15.87,39.55,66.0,52.15,77.56,82.0,69.2,90.23,66.0,52.15,77.56,89.19,16.418,4.132,12.287
0.53,50,36,28.0,17.47,41.67,72.0,58.33,82.53,82.0,69.2,90.23,62.0,48.15,74.14,86.11,16.842,3.925,12.917
0.54,50,35,30.0,19.1,43.75,72.0,58.33,82.53,82.0,69.2,90.23,60.0,46.18,72.39,85.71,16.842,3.922,12.92
0.55,50,35,30.0,19.1,43.75,72.0,58.33,82.53,82.0,69.2,90.23,60.0,46.18,72.39,85.71,16.804,4.001,12.802
0.56,50,34,32.0,20.76,45.81,72.0,58.33,82.53,84.0,71.49,91.66,60.0,46.18,72.39,88.24,17.039,3.782,13.258
0.57,50,36,28.0,17.47,41.67,72.0,58.33,82.53,80.0,66.96,88.76,60.0,46.18,72.39,83.33,16.727,4.243,12.484
0.58,50,35,30.0,19.1,43.75,76.0,62.59,85.7,76.0,62.59,85.7,58.0,44.23,70.63,82.86,16.434,4.409,12.026
0.59,50,35,30.0,19.1,43.75,74.0,60.45,84.13,76.0,62.59,85.7,58.0,44.23,70.63,82.86,16.339,4.485,11.854
0.6,50,35,30.0,19.1,43.75,70.0,56.25,80.9,86.0,73.81,93.05,68.0,54.19,79.24,97.14,16.835,3.95,12.885
0.61,50,38,24.0,14.3,37.41,70.0,56.25,80.9,88.0,76.19,94.38,70.0,56.25,80.9,92.11,17.482,3.333,14.149
0.62,50,38,24.0,14.3,37.41,70.0,56.25,80.9,90.0,78.64,95.65,72.0,58.33,82.53,94.74,17.52,3.285,14.235
0.63,50,38,24.0,14.3,37.41,74.0,60.45,84.13,86.0,73.81,93.05,68.0,54.19,79.24,89.47,17.459,3.32,14.139
0.64,50,39,22.0,12.75,35.24,70.0,56.25,80.9,86.0,73.81,93.05,68.0,54.19,79.24,87.18,17.399,3.67,13.729
0.65,50,38,24.0,14.3,37.41,68.0,54.19,79.24,86.0,73.81,93.05,68.0,54.19,79.24,89.47,17.236,3.832,13.404
0.66,50,37,26.0,15.87,39.55,72.0,58.33,82.53,88.0,76.19,94.38,68.0,54.19,79.24,91.89,17.453,3.565,13.888
0.67,50,37,26.0,15.87,39.55,78.0,64.76,87.25,86.0,73.81,93.05,64.0,50.14,75.86,86.49,17.485,3.769,13.716
0.68,50,38,24.0,14.3,37.41,80.0,66.96,88.76,88.0,76.19,94.38,66.0,52.15,77.56,86.84,17.892,3.31,14.582
0.69,50,39,22.0,12.75,35.24,78.0,64.76,87.25,90.0,78.64,95.65,70.0,56.25,80.9,89.74,17.978,3.183,14.795
0.7,50,40,20.0,11.24,33.04,68.0,54.19,79.24,92.0,81.16,96.85,74.0,60.45,84.13,92.5,17.717,3.199,14.518
0.71,50,38,24.0,14.3,37.41,74.0,60.45,84.13,90.0,78.64,95.65,70.0,56.25,80.9,92.11,17.568,3.454,14.114
0.72,50,37,26.0,15.87,39.55,78.0,64.76,87.25,88.0,76.19,94.38,68.0,54.19,79.24,91.89,16.95,3.823,13.127
0.73,50,38,24.0,14.3,37.41,84.0,71.49,91.66,90.0,78.64,95.65,70.0,56.25,80.9,92.11,18.016,2.811,15.206
0.74,50,35,30.0,19.1,43.75,80.0,66.96,88.76,92.0,81.16,96.85,68.0,54.19,79.24,97.14,17.959,2.922,15.037
0.75,50,35,30.0,19.1,43.75,78.0,64.76,87.25,92.0,81.16,96.85,68.0,54.19,79.24,97.14,17.692,3.253,14.439
0.76,50,36,28.0,17.47,41.67,82.0,69.2,90.23,90.0,78.64,95.65,68.0,54.19,79.24,94.44,17.733,3.224,14.509
0.77,50,34,32.0,20.76,45.81,84.0,71.49,91.66,82.0,69.2,90.23,58.0,44.23,70.63,85.29,17.224,3.521,13.703
0.78,50,32,36.0,24.14,49.86,84.0,71.49,91.66,82.0,69.2,90.23,58.0,44.23,70.63,90.62,16.905,3.925,12.981
0.79,50,32,36.0,24.14,49.86,84.0,71.49,91.66,84.0,71.49,91.66,60.0,46.18,72.39,93.75,17.51,3.059,14.451
0.8,50,30,40.0,27.61,53.82,88.0,76.19,94.38,82.0,69.2,90.23,58.0,44.23,70.63,96.67,16.909,3.514,13.394
0.81,50,30,40.0,27.61,53.82,92.0,81.16,96.85,78.0,64.76,87.25,54.0,40.4,67.03,90.0,16.737,3.778,12.958
0.82,50,30,40.0,27.61,53.82,86.0,73.81,93.05,82.0,69.2,90.23,56.0,42.31,68.84,93.33,17.571,3.352,14.219
0.83,50,31,38.0,25.86,51.85,88.0,76.19,94.38,82.0,69.2,90.23,58.0,44.23,70.63,93.55,17.271,3.435,13.837
0.84,50,28,44.0,31.16,57.69,92.0,81.16,96.85,78.0,64.76,87.25,52.0,38.51,65.2,92.86,16.851,3.724,13.127
0.85,50,27,46.0,32.97,59.6,82.0,69.2,90.23,78.0,64.76,87.25,48.0,34.8,61.49,88.89,17.014,3.829,13.184
0.86,50,26,48.0,34.8,61.49,92.0,81.16,96.85,82.0,69.2,90.23,50.0,36.64,63.36,96.15,17.809,3.199,14.61
0.87,50,27,46.0,32.97,59.6,92.0,81.16,96.85,80.0,66.96,88.76,46.0,32.97,59.6,85.19,17.899,3.237,14.661
0.88,50,24,52.0,38.51,65.2,94.0,83.78,97.94,76.0,62.59,85.7,40.0,27.61,53.82,83.33,17.354,3.912,13.442
0.89,50,25,50.0,36.64,63.36,88.0,76.19,94.38,82.0,69.2,90.23,44.0,31.16,57.69,88.0,18.481,3.078,15.403
0.9,50,24,52.0,38.51,65.2,96.0,86.54,98.9,76.0,62.59,85.7,40.0,27.61,53.82,83.33,17.564,3.629,13.936
0.91,50,23,54.0,40.4,67.03,94.0,83.78,97.94,82.0,69.2,90.23,42.0,29.37,55.77,91.3,18.408,2.811,15.597
0.92,50,21,58.0,44.23,70.63,94.0,83.78,97.94,82.0,69.2,90.23,40.0,27.61,53.82,95.24,18.331,3.084,15.247
0.93,50,18,64.0,50.14,75.86,94.0,83.78,97.94,80.0,66.96,88.76,34.0,22.44,47.85,94.44,18.175,3.463,14.712
0.94,50,18,64.0,50.14,75.86,96.0,86.54,98.9,78.0,64.76,87.25,34.0,22.44,47.85,94.44,17.822,3.842,13.98
0.95,50,18,64.0,50.14,75.86,96.0,86.54,98.9,82.0,69.2,90.23,36.0,24.14,49.86,100.0,18.5,3.167,15.333
0.96,50,18,64.0,50.14,75.86,96.0,86.54,98.9,82.0,69.2,90.23,34.0,22.44,47.85,94.44,18.908,2.932,15.976
0.97,50,19,62.0,48.15,74.14,98.0,89.5,99.65,86.0,73.81,93.05,38.0,25.86,51.85,100.0,19.621,2.394,17.227
0.98,50,19,62.0,48.15,74.14,100.0,92.86,100.0,84.0,71.49,91.66,38.0,25.86,51.85,100.0,19.165,2.534,16.632
0.99,50,19,62.0,48.15,74.14,100.0,92.86,100.0,86.0,73.81,93.05,36.0,24.14,49.86,94.74,19.926,2.378,17.548
1.0,50,21,58.0,44.23,70.63,98.0,89.5,99.65,90.0,78.64,95.65,40.0,27.61,53.82,95.24,20.563,1.757,18.806
