alpha,seed,loss_time,first_loss_branch,stable
0.15,999745295,0,0,1
0.15,885063870,0,0,1
0.15,389151678,0,0,1
0.15,151079599,0,0,1
0.15,508464062,0,0,1
0.15,857592371,0,0,1
0.15,568919916,0,0,1
0.15,61136439,0,0,1
0.15,396917568,0,0,1
0.15,930989561,0,0,1
0.15,199502979,0,0,1
0.15,472190437,0,0,1
0.15,461901619,0,0,1
0.15,774414983,0,0,1
0.2,534895719,27,2,0
0.2,199900596,0,0,1
0.2,862061405,0,0,1
0.2,787846415,0,0,1
0.2,996406379,24,2,0
0.2,127521864,0,0,1
0.2,423734973,0,0,1
0.2,415968277,0,0,1
0.2,670094951,0,0,1
0.2,841095290,0,0,1
0.2,669991379,0,0,1
0.2,429389015,14,1,0
0.2,249467211,0,0,1
0.2,898717131,29,2,0
0.2,498972760,0,0,1
0.2,359525749,0,0,1
0.2,434285668,0,0,1
0.2,613608296,0,0,1
0.2,893664920,0,0,1
0.2,648061059,0,0,1
0.2,88409750,0,0,1
0.2,242285877,0,0,1
0.2,944505602,0,0,1
0.2,953477464,0,0,1
0.2,354088428,0,0,1
0.2,809827742,0,0,1
0.2,911989542,0,0,1
0.2,3344770,0,0,1
0.2,780932288,11,1,0
0.2,787716373,27,2,0
0.2,504579233,0,0,1
0.2,232968652,0,0,1
0.2,479546682,0,0,1
0.2,106328086,0,0,1
0.2,30349565,0,0,1
0.2,781447916,0,0,1
0.2,99052377,0,0,1
0.2,177077809,0,0,1
0.2,106406363,0,0,1
0.2,480404539,0,0,1
0.2,643647999,28,2,0
0.2,599121578,24,2,0
0.2,200427520,0,0,1
0.2,181009884,0,0,1
0.2,961022652,0,0,1
0.2,499770320,0,0,1
0.2,999745295,0,0,1
0.2,885063870,0,0,1
0.2,389151678,0,0,1
0.2,151079599,0,0,1
0.2,508464062,0,0,1
0.2,857592371,0,0,1
0.2,568919916,0,0,1
0.2,61136439,0,0,1
0.2,396917568,0,0,1
0.2,930989561,0,0,1
0.2,199502979,0,0,1
0.2,472190437,0,0,1
0.2,461901619,0,0,1
0.2,774414983,0,0,1
0.25,534895719,27,2,0
0.25,199900596,0,0,1
0.25,862061405,0,0,1
0.25,787846415,0,0,1
0.25,996406379,24,2,0
0.25,127521864,0,0,1
0.25,423734973,0,0,1
0.25,415968277,0,0,1
0.25,670094951,0,0,1
0.25,841095290,0,0,1
0.25,669991379,0,0,1
0.25,429389015,15,1,0
0.25,249467211,0,0,1
0.25,898717131,29,2,0
0.25,498972760,0,0,1
0.25,359525749,0,0,1
0.25,434285668,0,0,1
0.25,613608296,0,0,1
0.25,893664920,0,0,1
0.25,648061059,30,2,0
0.25,88409750,0,0,1
0.25,242285877,0,0,1
0.25,944505602,0,0,1
0.25,953477464,0,0,1
0.25,354088428,0,0,1
0.25,809827742,0,0,1
0.25,911989542,0,0,1
0.25,3344770,0,0,1
0.25,780932288,11,1,0
0.25,787716373,27,2,0
0.25,504579233,0,0,1
0.25,232968652,0,0,1
0.25,479546682,0,0,1
0.25,106328086,0,0,1
0.25,30349565,0,0,1
0.25,781447916,0,0,1
0.25,99052377,0,0,1
0.25,177077809,0,0,1
0.25,106406363,0,0,1
0.25,480404539,0,0,1
0.25,643647999,0,0,1
0.25,599121578,24,2,0
0.25,200427520,0,0,1
0.25,181009884,0,0,1
0.25,961022652,0,0,1
0.25,499770320,0,0,1
0.25,999745295,0,0,1
0.25,885063870,0,0,1
0.25,389151678,0,0,1
0.25,151079599,0,0,1
0.25,508464062,0,0,1
0.25,857592371,0,0,1
0.25,568919916,0,0,1
0.25,61136439,0,0,1
0.25,396917568,0,0,1
0.25,930989561,0,0,1
0.25,199502979,0,0,1
0.25,472190437,0,0,1
0.25,461901619,0,0,1
0.25,774414983,0,0,1
0.3,534895719,27,2,0
0.3,199900596,0,0,1
0.3,862061405,0,0,1
0.3,787846415,26,2,0
0.3,996406379,24,2,0
0.3,127521864,0,0,1
0.3,423734973,0,0,1
0.3,415968277,0,0,1
0.3,670094951,0,0,1
0.3,841095290,0,0,1
0.3,669991379,0,0,1
0.3,429389015,15,1,0
0.3,249467211,0,0,1
0.3,898717131,29,2,0
0.3,498972760,0,0,1
0.3,359525749,0,0,1
0.3,434285668,0,0,1
0.3,613608296,0,0,1
0.3,893664920,0,0,1
0.3,648061059,30,2,0
0.3,88409750,0,0,1
0.3,242285877,0,0,1
0.3,944505602,35,1,0
0.3,953477464,0,0,1
0.3,354088428,0,0,1
0.3,809827742,0,0,1
0.3,911989542,0,0,1
0.3,3344770,0,0,1
0.3,780932288,11,1,0
0.3,787716373,27,2,0
0.3,504579233,0,0,1
0.3,232968652,0,0,1
0.3,479546682,0,0,1
0.3,106328086,0,0,1
0.3,30349565,0,0,1
0.3,781447916,0,0,1
0.3,99052377,0,0,1
0.3,177077809,0,0,1
0.3,106406363,0,0,1
0.3,480404539,0,0,1
0.3,643647999,0,0,1
0.3,599121578,24,2,0
0.3,200427520,0,0,1
0.3,181009884,0,0,1
0.3,961022652,0,0,1
0.3,499770320,0,0,1
0.3,999745295,0,0,1
0.3,885063870,0,0,1
0.3,389151678,0,0,1
0.3,151079599,0,0,1
0.3,508464062,0,0,1
0.3,857592371,0,0,1
0.3,568919916,0,0,1
0.3,61136439,0,0,1
0.3,396917568,0,0,1
0.3,930989561,0,0,1
0.3,199502979,0,0,1
0.3,472190437,0,0,1
0.3,461901619,0,0,1
0.3,774414983,0,0,1
0.35,534895719,27,2,0
0.35,199900596,0,0,1
0.35,862061405,0,0,1
0.35,787846415,26,2,0
0.35,996406379,24,2,0
0.35,127521864,0,0,1
0.35,423734973,0,0,1
0.35,415968277,0,0,1
0.35,670094951,0,0,1
0.35,841095290,0,0,1
0.35,669991379,20,1,0
0.35,429389015,15,1,0
0.35,249467211,0,0,1
0.35,898717131,29,2,0
0.35,498972760,0,0,1
0.35,359525749,0,0,1
0.35,434285668,0,0,1
0.35,613608296,0,0,1
0.35,893664920,0,0,1
0.35,648061059,30,2,0
0.35,88409750,0,0,1
0.35,242285877,0,0,1
0.35,944505602,0,0,1
0.35,953477464,0,0,1
0.35,354088428,0,0,1
0.35,809827742,31,2,0
0.35,911989542,0,0,1
0.35,3344770,0,0,1
0.35,780932288,0,0,1
0.35,787716373,0,0,1
0.35,504579233,0,0,1
0.35,232968652,0,0,1
0.35,479546682,27,2,0
0.35,106328086,0,0,1
0.35,30349565,0,0,1
0.35,781447916,0,0,1
0.35,99052377,0,0,1
0.35,177077809,0,0,1
0.35,106406363,0,0,1
0.35,480404539,0,0,1
0.35,643647999,0,0,1
0.35,599121578,24,2,0
0.35,200427520,0,0,1
0.35,181009884,0,0,1
0.35,961022652,0,0,1
0.35,499770320,0,0,1
0.35,999745295,0,0,1
0.35,885063870,0,0,1
0.35,389151678,18,1,0
0.35,151079599,0,0,1
0.35,508464062,0,0,1
0.35,857592371,0,0,1
0.35,568919916,0,0,1
0.35,61136439,0,0,1
0.35,396917568,0,0,1
0.35,930989561,0,0,1
0.35,199502979,0,0,1
0.35,472190437,0,0,1
0.35,461901619,0,0,1
0.35,774414983,0,0,1
0.4,534895719,27,2,0
0.4,199900596,0,0,1
0.4,862061405,0,0,1
0.4,787846415,26,2,0
0.4,996406379,24,2,0
0.4,127521864,0,0,1
0.4,423734973,0,0,1
0.4,415968277,0,0,1
0.4,670094951,0,0,1
0.4,841095290,0,0,1
0.4,669991379,20,1,0
0.4,429389015,15,1,0
0.4,249467211,0,0,1
0.4,898717131,29,2,0
0.4,498972760,0,0,1
0.4,359525749,0,0,1
0.4,434285668,0,0,1
0.4,613608296,0,0,1
0.4,893664920,0,0,1
0.4,648061059,30,2,0
0.4,88409750,0,0,1
0.4,242285877,0,0,1
0.4,944505602,0,0,1
0.4,953477464,0,0,1
0.4,354088428,0,0,1
0.4,809827742,24,2,0
0.4,911989542,0,0,1
0.4,3344770,0,0,1
0.4,780932288,0,0,1
0.4,787716373,0,0,1
0.4,504579233,0,0,1
0.4,232968652,0,0,1
0.4,479546682,0,0,1
0.4,106328086,0,0,1
0.4,30349565,0,0,1
0.4,781447916,0,0,1
0.4,99052377,0,0,1
0.4,177077809,0,0,1
0.4,106406363,0,0,1
0.4,480404539,0,0,1
0.4,643647999,0,0,1
0.4,599121578,24,2,0
0.4,200427520,0,0,1
0.4,181009884,0,0,1
0.4,961022652,0,0,1
0.4,499770320,0,0,1
0.4,999745295,20,1,0
0.4,885063870,0,0,1
0.4,389151678,0,0,1
0.4,151079599,0,0,1
0.4,508464062,0,0,1
0.4,857592371,0,0,1
0.4,568919916,0,0,1
0.4,61136439,0,0,1
0.4,396917568,0,0,1
0.4,930989561,0,0,1
0.4,199502979,0,0,1
0.4,472190437,0,0,1
0.4,461901619,0,0,1
0.4,774414983,0,0,1
0.45,534895719,27,2,0
0.45,199900596,0,0,1
0.45,862061405,0,0,1
0.45,787846415,26,2,0
0.45,996406379,24,2,0
0.45,127521864,0,0,1
0.45,423734973,0,0,1
0.45,415968277,0,0,1
0.45,670094951,0,0,1
0.45,841095290,0,0,1
0.45,669991379,0,0,1
0.45,429389015,15,1,0
0.45,249467211,0,0,1
0.45,898717131,0,0,1
0.45,498972760,0,0,1
0.45,359525749,0,0,1
0.45,434285668,0,0,1
0.45,613608296,0,0,1
0.45,893664920,0,0,1
0.45,648061059,30,2,0
0.45,88409750,0,0,1
0.45,242285877,0,0,1
0.45,944505602,20,1,0
0.45,953477464,0,0,1
0.45,354088428,0,0,1
0.45,809827742,24,2,0
0.45,911989542,0,0,1
0.45,3344770,0,0,1
0.45,780932288,0,0,1
0.45,787716373,0,0,1
0.45,504579233,0,0,1
0.45,232968652,0,0,1
0.45,479546682,0,0,1
0.45,106328086,0,0,1
0.45,30349565,0,0,1
0.45,781447916,0,0,1
0.45,99052377,0,0,1
0.45,177077809,0,0,1
0.45,106406363,0,0,1
0.45,480404539,0,0,1
0.45,643647999,0,0,1
0.45,599121578,24,2,0
0.45,200427520,0,0,1
0.45,181009884,0,0,1
0.45,961022652,0,0,1
0.45,499770320,0,0,1
0.45,999745295,0,0,1
0.45,885063870,0,0,1
0.45,389151678,22,2,0
0.45,151079599,0,0,1
0.45,508464062,0,0,1
0.45,857592371,0,0,1
0.45,568919916,0,0,1
0.45,61136439,0,0,1
0.45,396917568,0,0,1
0.45,930989561,0,0,1
0.45,199502979,0,0,1
0.45,472190437,0,0,1
0.45,461901619,0,0,1
0.45,774414983,25,1,0
0.5,534895719,27,2,0
0.5,199900596,0,0,1
0.5,862061405,0,0,1
0.5,787846415,26,2,0
0.5,996406379,24,2,0
0.5,127521864,0,0,1
0.5,423734973,0,0,1
0.5,415968277,27,1,0
0.5,670094951,0,0,1
0.5,841095290,0,0,1
0.5,669991379,0,0,1
0.5,429389015,15,1,0
0.5,249467211,0,0,1
0.5,898717131,0,0,1
0.5,498972760,0,0,1
0.5,359525749,0,0,1
0.5,434285668,0,0,1
0.5,613608296,0,0,1
0.5,893664920,0,0,1
0.5,648061059,30,2,0
0.5,88409750,33,2,0
0.5,242285877,0,0,1
0.5,944505602,20,1,0
0.5,953477464,0,0,1
0.5,354088428,0,0,1
0.5,809827742,0,0,1
0.5,911989542,0,0,1
0.5,3344770,0,0,1
0.5,780932288,0,0,1
0.5,787716373,0,0,1
0.5,504579233,0,0,1
0.5,232968652,19,1,0
0.5,479546682,0,0,1
0.5,106328086,0,0,1
0.5,30349565,0,0,1
0.5,781447916,0,0,1
0.5,99052377,0,0,1
0.5,177077809,0,0,1
0.5,106406363,0,0,1
0.5,480404539,0,0,1
0.5,643647999,0,0,1
0.5,599121578,24,2,0
0.5,200427520,0,0,1
0.5,181009884,0,0,1
0.5,961022652,0,0,1
0.5,499770320,0,0,1
0.5,999745295,0,0,1
0.5,885063870,0,0,1
0.5,389151678,22,2,0
0.5,151079599,0,0,1
0.5,508464062,0,0,1
0.5,857592371,0,0,1
0.5,568919916,0,0,1
0.5,61136439,0,0,1
0.5,396917568,0,0,1
0.5,930989561,0,0,1
0.5,199502979,0,0,1
0.5,472190437,32,2,0
0.5,461901619,0,0,1
0.5,774414983,25,1,0
0.55,534895719,27,2,0
0.55,199900596,0,0,1
0.55,862061405,0,0,1
0.55,787846415,26,2,0
0.55,996406379,24,2,0
0.55,127521864,0,0,1
0.55,423734973,0,0,1
0.55,415968277,0,0,1
0.55,670094951,0,0,1
0.55,841095290,33,2,0
0.55,669991379,0,0,1
