alpha,step,time_days,survival_pct,n_at_risk,n_events
0.1,0,0.0,100.0,60,0
0.1,11,1.527777777777778,98.33333333333333,60,1
0.1,13,1.8055555555555556,96.66666666666667,59,1
0.1,16,2.2222222222222223,95.0,58,1
0.1,19,2.638888888888889,93.33333333333333,57,1
0.1,20,2.7777777777777777,91.66666666666666,56,1
0.1,24,3.3333333333333335,89.99999999999999,55,1
0.1,26,3.611111111111111,88.33333333333331,54,1
0.1,27,3.75,83.33333333333333,53,3
0.1,28,3.8888888888888893,81.66666666666666,50,1
0.1,29,4.027777777777778,79.99999999999999,49,1
0.1,36,5.0,79.99999999999999,48,0
0.45,0,0.0,100.0,60,0
0.45,15,2.0833333333333335,98.33333333333333,60,1
0.45,20,2.7777777777777777,96.66666666666667,59,1
0.45,22,3.055555555555556,95.0,58,1
0.45,24,3.3333333333333335,90.0,57,3
0.45,25,3.4722222222222223,88.33333333333334,54,1
0.45,26,3.611111111111111,86.66666666666667,53,1
0.45,27,3.75,85.0,52,1
0.45,30,4.166666666666667,83.33333333333333,51,1
0.45,36,5.0,83.33333333333333,50,0
1.0,0,0.0,100.0,60,0
1.0,12,1.6666666666666667,98.33333333333333,60,1
1.0,16,2.2222222222222223,96.66666666666667,59,1
1.0,18,2.5,95.0,58,1
1.0,19,2.638888888888889,93.33333333333333,57,1
1.0,21,2.916666666666667,88.33333333333331,56,3
1.0,22,3.055555555555556,83.33333333333333,53,3
1.0,24,3.3333333333333335,81.66666666666666,50,1
1.0,26,3.611111111111111,78.33333333333331,49,2
1.0,28,3.8888888888888893,76.66666666666664,47,1
1.0,29,4.027777777777778,74.99999999999999,46,1
1.0,30,4.166666666666667,68.33333333333333,45,4
1.0,31,4.305555555555555,63.33333333333333,41,3
1.0,32,4.444444444444445,56.666666666666664,38,4
1.0,33,4.583333333333334,49.99999999999999,34,4
1.0,34,4.722222222222222,48.33333333333333,30,1
1.0,36,5.0,40.0,29,5
