seed_idx,step,time_days,mean_diam_prox,mean_diam_dist,loss_time,stable,hierarchy_success
0,0,0.0,12.732395447351626,12.732395447351626,0,1,1
0,1,0.1388888888888889,11.936620731892152,12.095775674984045,0,1,1
0,2,0.2777777777777778,11.30000095952457,11.618310845708361,0,1,1
0,3,0.4166666666666667,10.66338118715699,11.30000095952457,0,1,1
0,4,0.5555555555555556,9.867606471697513,10.98169107334078,0,1,1
0,5,0.6944444444444445,9.071831756238035,10.345071300973197,0,1,1
0,6,0.8333333333333334,8.116902097686662,9.86760647169751,0,1,1
0,7,0.9722222222222223,7.002817496043396,9.54929658551372,0,1,1
0,8,1.1111111111111112,6.525352666767709,9.230986699329929,0,1,1
0,9,1.25,5.888732894400128,8.594366926962348,0,1,1
0,10,1.388888888888889,5.252113122032547,7.957747154594768,0,1,1
0,11,1.527777777777778,5.252113122032545,7.3211273822271865,0,1,1
0,12,1.6666666666666667,5.729577951308232,7.79859221150287,0,1,1
0,13,1.8055555555555556,5.888732894400127,9.071831756238035,0,1,1
0,14,1.9444444444444446,6.6845076098596055,9.86760647169751,0,1,1
0,15,2.0833333333333335,7.639437268410978,10.185916357881302,0,1,1
0,16,2.2222222222222223,8.276057040778559,11.140846016432674,0,1,1
0,17,2.361111111111111,9.071831756238037,12.254930618075942,0,1,1
0,18,2.5,10.822536130248885,12.573240504259733,0,1,1
0,19,2.638888888888889,11.936620731892152,12.254930618075942,0,1,1
0,20,2.777777777777778,13.050705333535415,11.936620731892154,0,1,1
0,21,2.9166666666666665,13.687325105903,12.573240504259733,0,1,1
0,22,3.055555555555556,13.846480048994895,13.528170162811104,0,1,1
0,23,3.1944444444444446,13.050705333535422,13.528170162811104,0,1,1
0,24,3.3333333333333335,12.095775674984047,12.573240504259733,0,1,1
0,25,3.4722222222222228,11.30000095952457,11.61831084570836,0,1,1
0,26,3.611111111111111,10.98169107334078,10.98169107334078,0,1,1
0,27,3.75,10.50422624406509,10.50422624406509,0,1,1
0,28,3.8888888888888893,10.185916357881304,9.867606471697513,0,1,1
0,29,4.027777777777778,9.390141642421826,9.390141642421826,0,1,1
0,30,4.166666666666667,8.435211983870454,8.435211983870454,0,1,1
0,31,4.305555555555556,7.480282325319083,8.753521870054245,0,1,1
0,32,4.444444444444445,7.16197243913529,9.071831756238035,0,1,1
0,33,4.583333333333333,8.276057040778559,8.912676813146138,0,1,1
0,34,4.722222222222222,9.390141642421828,8.91267681314614,0,1,1
